v8-version,6,1,534,50,0
code-creation,Stub,3,7300,0x31830b345540,2311,"RecordWriteStub"
code-creation,Stub,3,7306,0x31830b345e60,2326,"RecordWriteStub"
code-creation,Stub,3,7312,0x31830b346780,365,"CEntryStub"
code-creation,Stub,3,7319,0x31830b346900,2254,"RecordWriteStub"
code-creation,Stub,3,7325,0x31830b3471e0,2275,"RecordWriteStub"
code-creation,Stub,3,7332,0x31830b347ae0,2238,"RecordWriteStub"
code-creation,Stub,3,7338,0x31830b3483a0,2308,"RecordWriteStub"
code-creation,Stub,3,7345,0x31830b348cc0,2284,"RecordWriteStub"
code-creation,Stub,3,7351,0x31830b3495c0,565,"CEntryStub"
code-creation,Stub,3,7358,0x31830b349800,2300,"RecordWriteStub"
code-creation,Stub,3,7364,0x31830b34a100,2253,"RecordWriteStub"
code-creation,Stub,3,7371,0x31830b34a9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,7377,0x31830b34b2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,7384,0x31830b34b360,124,"ReturnReceiver"
code-creation,Builtin,5,7390,0x31830b34b3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,7401,0x31830b34b600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,7408,0x31830b34b760,335,"CreateIterResultObject"
code-creation,Builtin,5,7414,0x31830b34b8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,7421,0x31830b34bae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,7427,0x31830b34bd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,7436,0x31830b34c3a0,200,"ToBoolean"
code-creation,Builtin,5,7443,0x31830b34c480,4284,"ResolveNativePromise"
code-creation,Builtin,5,7449,0x31830b34d540,448,"StringEqual"
code-creation,Builtin,5,7456,0x31830b34d700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,7462,0x31830b34ebc0,828,"RejectNativePromise"
code-creation,Builtin,5,7469,0x31830b34ef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
